epoch,g2,g3,g4,g5
226,0.101703,0.104888,0.092371,0.091520
227,0.101732,0.104835,0.092378,0.091609
228,0.101746,0.104887,0.092430,0.091704
229,0.101796,0.104934,0.092454,0.091774
230,0.101803,0.104958,0.092425,0.091851
231,0.101799,0.104924,0.092578,0.091910
232,0.101840,0.104982,0.092624,0.091976
233,0.101830,0.104934,0.092602,0.092066
234,0.101848,0.104981,0.092673,0.092064
235,0.101881,0.104917,0.092631,0.092060
236,0.101904,0.104917,0.092661,0.092116
237,0.101867,0.104922,0.092642,0.092170
238,0.101848,0.104894,0.092642,0.092204
239,0.101909,0.104849,0.092589,0.092249
240,0.101889,0.104850,0.092558,0.092289
241,0.101912,0.104858,0.092614,0.092346
242,0.101855,0.104909,0.092631,0.092399
243,0.101866,0.104945,0.092638,0.092433
244,0.101891,0.104934,0.092682,0.092459
245,0.101918,0.104965,0.092726,0.092493
246,0.101896,0.105013,0.092722,0.092524
247,0.101918,0.105045,0.092750,0.092529
248,0.101922,0.105034,0.092788,0.092557
249,0.101923,0.105045,0.092777,0.092599
250,0.101925,0.105054,0.092770,0.092611
251,0.101927,0.105058,0.092773,0.092632
252,0.101945,0.105061,0.092824,0.092617
253,0.101956,0.105094,0.092845,0.092671
254,0.101955,0.105119,0.092850,0.092695
255,0.101962,0.105151,0.092877,0.092694
256,0.101988,0.105146,0.092870,0.092691
257,0.101985,0.105167,0.092869,0.092716
258,0.101980,0.105169,0.092884,0.092789
259,0.101978,0.105211,0.092868,0.092806
260,0.101987,0.105224,0.092858,0.092833
261,0.101985,0.105202,0.092888,0.092867
262,0.101986,0.105207,0.092868,0.092872
263,0.101994,0.105202,0.092856,0.092879
264,0.101999,0.105189,0.092872,0.092887
265,0.101997,0.105177,0.092908,0.092894
266,0.102019,0.105173,0.092911,0.092913
267,0.102019,0.105178,0.092942,0.092949
268,0.102013,0.105165,0.092951,0.092962
269,0.102015,0.105152,0.092983,0.092983
270,0.102024,0.105177,0.092966,0.092993
271,0.102026,0.105192,0.092976,0.092997
272,0.102028,0.105221,0.093002,0.093013
273,0.102032,0.105250,0.093013,0.093025
274,0.102037,0.105270,0.093020,0.093041
275,0.102027,0.105298,0.093028,0.093052
276,0.102017,0.105304,0.093020,0.093062
277,0.102025,0.105313,0.093018,0.093070
278,0.102031,0.105317,0.093022,0.093066
279,0.102025,0.105319,0.093041,0.093070
280,0.102024,0.105328,0.093046,0.093088
281,0.102021,0.105324,0.093054,0.093109
282,0.102029,0.105332,0.093057,0.093121
283,0.102027,0.105337,0.093071,0.093135
284,0.102022,0.105332,0.093079,0.093135
285,0.102029,0.105330,0.093082,0.093137
286,0.102030,0.105322,0.093087,0.093148
287,0.102033,0.105325,0.093096,0.093156
288,0.102037,0.105331,0.093100,0.093162
289,0.102036,0.105334,0.093095,0.093170
290,0.102039,0.105339,0.093099,0.093179
291,0.102041,0.105341,0.093099,0.093192
292,0.102040,0.105340,0.093104,0.093195
293,0.102039,0.105340,0.093110,0.093203
294,0.102034,0.105341,0.093116,0.093216
295,0.102038,0.105340,0.093121,0.093225
296,0.102039,0.105345,0.093130,0.093232
297,0.102039,0.105351,0.093128,0.093243
298,0.102039,0.105355,0.093128,0.093242
299,0.102043,0.105354,0.093130,0.093241
300,0.102043,0.105349,0.093132,0.093244
